comentario,usuario,fecha,likes,video_id
EL MENSAJE DEL VALIENTE  PRESIDENTE PEDRO CASTILLO DEBE CUMPLIRSE PARA ELIMINAR A TODAS LAS MAFIAS QUE GOBIERNAN EL PAIS.,@osofacton,2024-10-09T16:04:37Z,0,lfG8PiImmsM
K cabeza cave k un Maestro no sepa leer sera un ignorante era por el momento kvestaba ocuriendo con sus manos temblorosas y seguro k presionado,@soniacrespo6718,2024-10-08T23:41:35Z,0,lfG8PiImmsM
Por esa lectura k no le convenia ni al congreso ni al poder judicial lo an secuestrado la mafia fugimorista totalorizada porq quieren todo para ellos nada para el pueblo y k no avancen los pobres Muy bien infundada esa lectura Presidente tenias toda la razon pero te traicionaron y te dieron golpe de. estado primero k basuras son,@soniacrespo6718,2024-10-08T23:35:39Z,0,lfG8PiImmsM
Estaba bien ese Golpe de Estado.,@juancho-f8r,2024-10-05T04:07:11Z,0,lfG8PiImmsM
como arruinar tu vida en menos de 10 minutos:,@Barangel67,2024-10-01T01:34:14Z,4,lfG8PiImmsM
Se suicidó políticamente,@elrockero80s,2024-09-16T05:19:04Z,0,lfG8PiImmsM
Por el mismo camino va el guerrillero Petro en Colombia,@animadelinframundo,2024-09-01T15:18:41Z,3,lfG8PiImmsM
En el Perú vota la ignorancia permanente avalada por los gobiernos  a los que le conviene mantenerlos sin educación para así seguir engañando los fácilmente. Cuando despertará el pueblo.,@martinraffo1046,2024-09-01T06:26:32Z,2,lfG8PiImmsM
Si más no recuerdo y por favor dejenme saber si me equivoco. Fujimori lo hizo desde Japon cuando hiso está cagada.,@vivianasanper,2024-09-01T03:12:29Z,0,lfG8PiImmsM
era para que designes cabezas en el ala militar y policial no que te mandes así de frente ese fue tu error,@jolura,2024-08-05T10:36:40Z,0,lfG8PiImmsM
Jajaja serr🤪🤪no,@DenyGutierrez-n5i,2024-08-04T20:03:38Z,0,lfG8PiImmsM
Asta hora no lo sentencian dina esta blondandolo,@hipotumundo1822,2024-08-01T23:34:25Z,0,lfG8PiImmsM
AHI ESTA TU GOLPE. EL INTERNET NO OLVIDA RE DESCARGADO MIN 06:52,@3mb360,2024-08-01T01:31:58Z,3,lfG8PiImmsM
Eso debía cumplirse.,@juancho-f8r,2024-07-31T04:48:45Z,0,lfG8PiImmsM
te extraño castillo,@heygusim,2024-07-18T01:06:09Z,1,lfG8PiImmsM
Buena proclama ¡ Viva el Perú!,@CelsoAgustinPerezDios,2024-06-26T05:10:44Z,0,lfG8PiImmsM
Eso es una denuncia pública y un deseo de cambio. No es un mensaje a la nación porque no ha sido aprobado por el consejo de ministros tal como lo manda la constitución.,@CelsoAgustinPerezDios,2024-06-26T05:06:55Z,0,lfG8PiImmsM
SEÑORES MIREN A BOLIVIA ESE ERA EL EJEMPLO A SEGUIE E.ESTE SEÑOR.,@liderhablolaverdad1665,2024-06-11T00:53:44Z,2,lfG8PiImmsM
ESTE BURRO MEJOR SALIA CON SU METRALLETRA Y MATRACA JJJAJAJJA,@PGWORK,2024-06-07T21:04:18Z,1,lfG8PiImmsM
Después de un año no era la forma. Sin embargo tuvo razón al final son el congreso y los partidos políticos de siempre los golpistas,@DJELMERFOX,2024-05-31T08:54:03Z,1,lfG8PiImmsM
Jaja q bruto como tiembla,@AdrianoNaranjo-ob6br,2024-05-09T21:53:41Z,0,lfG8PiImmsM
Es una pena como el Peru tiene este tipo de gobernantes y sucesos la falta de educacion y valores hacen tambien que la poblacion no estee exenta de responsabilidad de todo lo que ocurre ahora esta asumiendo las consecuencias de sus actos ya le llegara la hora a la usurpadora dos y todos los conspiradores que hacen del pais una cloaca.,@JavierEspinozaEncarnación,2024-04-12T08:30:31Z,0,lfG8PiImmsM
Después de esto los comunistas SENDERISTAS dijeron q le estaban apuntando con una pistola que lo habían dopado q Keiko le dijo q lea ese mensaje toda una estupidez q inventaron los COMUNISTAS MARXISTA LENNISTA SENDERISTA para tratar de tapar el golpe de estado,@WilliamSilva-jt3kr,2024-03-30T23:09:24Z,2,lfG8PiImmsM
Tdqd animal rojete,@jamesmallqui1771,2024-03-19T01:37:15Z,0,lfG8PiImmsM
